Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Functionality,Firefox 124.0,,,07-04-2024 14:48:48,07-04-2024 14:49:33,45.059s,FAILED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Positive/Correct credentials,Firefox 124.0,Verify user can login using correct credentials,,07-04-2024 14:48:54,07-04-2024 14:48:59,4.791s,FAILED
"openBrowser("""")",Firefox 124.0,,,07-04-2024 14:48:54,07-04-2024 14:48:58,3.814s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 124.0,,,07-04-2024 14:48:58,07-04-2024 14:48:58,0.554s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_user-name""))",Firefox 124.0,,,07-04-2024 14:48:58,07-04-2024 14:48:59,0.324s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_user-name""), username)",Firefox 124.0,,,07-04-2024 14:48:59,07-04-2024 14:48:59,0.071s,FAILED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Negative/Empty credentials,Firefox 124.0,Verify user cannot login using empty credentials,login-001,07-04-2024 14:48:59,07-04-2024 14:49:06,7.398s,PASSED
"openBrowser("""")",Firefox 124.0,,,07-04-2024 14:48:59,07-04-2024 14:49:02,3.211s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 124.0,,,07-04-2024 14:49:02,07-04-2024 14:49:03,0.579s,PASSED
"comment(""Negative test case begin here"")",Firefox 124.0,,,07-04-2024 14:49:03,07-04-2024 14:49:03,0.026s,PASSED
"comment(""Case 1: Empty username & password"")",Firefox 124.0,,,07-04-2024 14:49:03,07-04-2024 14:49:03,0.003s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_login-button""))",Firefox 124.0,,,07-04-2024 14:49:03,07-04-2024 14:49:03,0.330s,PASSED
"verifyElementPresent(findTestObject(""Page_Swag Labs/Login_page/failed-login-text-username""), 0)",Firefox 124.0,,,07-04-2024 14:49:03,07-04-2024 14:49:03,0.050s,PASSED
closeBrowser(),Firefox 124.0,,,07-04-2024 14:49:03,07-04-2024 14:49:06,3.132s,PASSED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Negative/Empty password,Firefox 124.0,Verify user cannot login using only username,login-003,07-04-2024 14:49:10,07-04-2024 14:49:15,4.734s,FAILED
"openBrowser("""")",Firefox 124.0,,,07-04-2024 14:49:10,07-04-2024 14:49:14,3.397s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 124.0,,,07-04-2024 14:49:14,07-04-2024 14:49:14,0.936s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_user-name""))",Firefox 124.0,,,07-04-2024 14:49:14,07-04-2024 14:49:15,0.314s,PASSED
"setText(findTestObject(""Page_Swag Labs/Login_page/input_Swag Labs_user-name""), username)",Firefox 124.0,,,07-04-2024 14:49:15,07-04-2024 14:49:15,0.070s,FAILED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Negative/Empty username,Firefox 124.0,Verify user cannot login using only password,login-002,07-04-2024 14:49:19,07-04-2024 14:49:25,6.145s,FAILED
"openBrowser("""")",Firefox 124.0,,,07-04-2024 14:49:19,07-04-2024 14:49:23,4.317s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 124.0,,,07-04-2024 14:49:23,07-04-2024 14:49:25,1.473s,PASSED
"click(findTestObject(""Page_Swag Labs/Login_page/input_Swag Labs_password""))",Firefox 124.0,,,07-04-2024 14:49:25,07-04-2024 14:49:25,0.277s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_password""), password)",Firefox 124.0,,,07-04-2024 14:49:25,07-04-2024 14:49:25,0.063s,FAILED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Negative/Wrong credentials,Firefox 124.0,Verify user cannot login using incorrect credentials,login-004,07-04-2024 14:49:25,07-04-2024 14:49:33,8.148s,PASSED
"openBrowser("""")",Firefox 124.0,,,07-04-2024 14:49:25,07-04-2024 14:49:30,4.805s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 124.0,,,07-04-2024 14:49:30,07-04-2024 14:49:31,0.910s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_user-name""))",Firefox 124.0,,,07-04-2024 14:49:31,07-04-2024 14:49:31,0.308s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_user-name""), ""awd"")",Firefox 124.0,,,07-04-2024 14:49:31,07-04-2024 14:49:31,0.110s,PASSED
"click(findTestObject(""Page_Swag Labs/Login_page/input_Swag Labs_password""))",Firefox 124.0,,,07-04-2024 14:49:31,07-04-2024 14:49:32,0.258s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_password""), ""wad"")",Firefox 124.0,,,07-04-2024 14:49:32,07-04-2024 14:49:32,0.077s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_login-button""))",Firefox 124.0,,,07-04-2024 14:49:32,07-04-2024 14:49:32,0.260s,PASSED
"verifyElementPresent(findTestObject(""Page_Swag Labs/Login_page/failed-login-text-wrong-credentials""), 0)",Firefox 124.0,,,07-04-2024 14:49:32,07-04-2024 14:49:32,0.038s,PASSED
closeBrowser(),Firefox 124.0,,,07-04-2024 14:49:32,07-04-2024 14:49:33,1.326s,PASSED
